Year,Attribute,Value
1948,Total agricultural output,0.351753563
1948,Livestock and products output: Total,0.435703869
1948,Livestock and products output: Meat animals,0.562957476
1948,Livestock and products output: Dairy,0.449531648
1948,Livestock and products output: Poultry and eggs,0.129304468
1948,Crops output: Total,0.335481016
1948,Crops output: Food grains,0.524309405
1948,Crops output: Feed crops,0.383470981
1948,Crops output: Oil crops,0.110667516
1948,Crops output: Vegetables and melons,0.397223684
1948,Crops output: Fruits and nuts,0.307059496
1948,Crops output: Other crops,0.410790703
1948,Farm-related output,0.168362311
1948,Farm inputs: Total ,0.950630395
1948,Capital inputs: Total,1.136076343
1948,Capital inputs: Durable equipment,0.467548768
1948,Capital inputs: Service buildings,0.886675526
1948,Capital inputs: Land,1.370306725
1948,Capital inputs: Inventories,0.692027107
1948,Labor inputs: Total,3.9746116
1948,Labor inputs: Hired labor,2.999097654
1948,Labor inputs: Self-employed and unpaid family workers,4.570501419
1948,Intermediate inputs: Total,0.431832993
1948,Intermediate inputs: Feed and seed,0.466879842
1948,Intermediate inputs: Energy,1.087467049
1948,Intermediate inputs: Fertilizer and lime,0.29679295
1948,Intermediate inputs: Pesticides,0.016233503
1948,Intermediate inputs: Purchased services,0.438363373
1948,Intermediate inputs: Other intermediate inputs,0.266192141
1948,Total factor productivity (TFP),0.370021372
1949,Total agricultural output,0.346347168
1949,Livestock and products output: Total,0.438723844
1949,Livestock and products output: Meat animals,0.582992547
1949,Livestock and products output: Dairy,0.469667913
1949,Livestock and products output: Poultry and eggs,0.148074342
1949,Crops output: Total,0.324704193
1949,Crops output: Food grains,0.450338634
1949,Crops output: Feed crops,0.352605885
1949,Crops output: Oil crops,0.10584002
1949,Crops output: Vegetables and melons,0.449888278
1949,Crops output: Fruits and nuts,0.271653939
1949,Crops output: Other crops,0.451701159
1949,Farm-related output,0.158499885
1949,Farm inputs: Total ,0.963524529
1949,Capital inputs: Total,1.156861583
1949,Capital inputs: Durable equipment,0.551739952
1949,Capital inputs: Service buildings,0.925152008
1949,Capital inputs: Land,1.374993107
1949,Capital inputs: Inventories,0.748730531
1949,Labor inputs: Total,3.87882399
1949,Labor inputs: Hired labor,2.786415323
1949,Labor inputs: Self-employed and unpaid family workers,4.546307607
1949,Intermediate inputs: Total,0.446499369
1949,Intermediate inputs: Feed and seed,0.483663539
1949,Intermediate inputs: Energy,1.2038919
1949,Intermediate inputs: Fertilizer and lime,0.287810693
1949,Intermediate inputs: Pesticides,0.019592468
1949,Intermediate inputs: Purchased services,0.437154751
1949,Intermediate inputs: Other intermediate inputs,0.311151763
1949,Total factor productivity (TFP),0.35945859
1950,Total agricultural output,0.337995021
1950,Livestock and products output: Total,0.44632389
1950,Livestock and products output: Meat animals,0.597969314
1950,Livestock and products output: Dairy,0.473884049
1950,Livestock and products output: Poultry and eggs,0.158970849
1950,Crops output: Total,0.305576208
1950,Crops output: Food grains,0.419779586
1950,Crops output: Feed crops,0.361567775
1950,Crops output: Oil crops,0.107492199
1950,Crops output: Vegetables and melons,0.43478728
1950,Crops output: Fruits and nuts,0.270603399
1950,Crops output: Other crops,0.348549519
1950,Farm-related output,0.160818016
1950,Farm inputs: Total ,0.968749458
1950,Capital inputs: Total,1.185930836
1950,Capital inputs: Durable equipment,0.636627913
1950,Capital inputs: Service buildings,0.955875741
1950,Capital inputs: Land,1.378230517
1950,Capital inputs: Inventories,0.738850858
1950,Labor inputs: Total,3.731842224
1950,Labor inputs: Hired labor,2.90492755
1950,Labor inputs: Self-employed and unpaid family workers,4.236455569
1950,Intermediate inputs: Total,0.455313598
1950,Intermediate inputs: Feed and seed,0.482371178
1950,Intermediate inputs: Energy,1.234956855
1950,Intermediate inputs: Fertilizer and lime,0.368171872
1950,Intermediate inputs: Pesticides,0.025087738
1950,Intermediate inputs: Purchased services,0.447736691
1950,Intermediate inputs: Other intermediate inputs,0.270105592
1950,Total factor productivity (TFP),0.348898281
1951,Total agricultural output,0.353022317
1951,Livestock and products output: Total,0.464261938
1951,Livestock and products output: Meat animals,0.630788071
1951,Livestock and products output: Dairy,0.466174543
1951,Livestock and products output: Poultry and eggs,0.170448964
1951,Crops output: Total,0.322394269
1951,Crops output: Food grains,0.414267436
1951,Crops output: Feed crops,0.349333427
1951,Crops output: Oil crops,0.11238876
1951,Crops output: Vegetables and melons,0.441311412
1951,Crops output: Fruits and nuts,0.296151274
1951,Crops output: Other crops,0.452348617
1951,Farm-related output,0.13947146
1951,Farm inputs: Total ,0.983841057
1951,Capital inputs: Total,1.209495557
1951,Capital inputs: Durable equipment,0.71051274
1951,Capital inputs: Service buildings,0.983986308
1951,Capital inputs: Land,1.379630343
1951,Capital inputs: Inventories,0.756920565
1951,Labor inputs: Total,3.58844855
1951,Labor inputs: Hired labor,2.804683823
1951,Labor inputs: Self-employed and unpaid family workers,4.066649294
1951,Intermediate inputs: Total,0.476023851
1951,Intermediate inputs: Feed and seed,0.504764319
1951,Intermediate inputs: Energy,1.281789647
1951,Intermediate inputs: Fertilizer and lime,0.359695237
1951,Intermediate inputs: Pesticides,0.021484071
1951,Intermediate inputs: Purchased services,0.487088683
1951,Intermediate inputs: Other intermediate inputs,0.277571549
1951,Total factor productivity (TFP),0.358820476
1952,Total agricultural output,0.36447509
1952,Livestock and products output: Total,0.474727186
1952,Livestock and products output: Meat animals,0.655737025
1952,Livestock and products output: Dairy,0.470626783
1952,Livestock and products output: Poultry and eggs,0.173769209
1952,Crops output: Total,0.335568954
1952,Crops output: Food grains,0.531507521
1952,Crops output: Feed crops,0.360936042
1952,Crops output: Oil crops,0.112397689
1952,Crops output: Vegetables and melons,0.419938693
1952,Crops output: Fruits and nuts,0.293792438
1952,Crops output: Other crops,0.453717664
1952,Farm-related output,0.146587567
1952,Farm inputs: Total ,0.986105751
1952,Capital inputs: Total,1.228097936
1952,Capital inputs: Durable equipment,0.772343457
1952,Capital inputs: Service buildings,1.009755693
1952,Capital inputs: Land,1.378810212
1952,Capital inputs: Inventories,0.795398865
1952,Labor inputs: Total,3.508254663
1952,Labor inputs: Hired labor,2.740417935
1952,Labor inputs: Self-employed and unpaid family workers,3.976753412
1952,Intermediate inputs: Total,0.478475145
1952,Intermediate inputs: Feed and seed,0.500052331
1952,Intermediate inputs: Energy,1.33806558
1952,Intermediate inputs: Fertilizer and lime,0.374179845
1952,Intermediate inputs: Pesticides,0.022598939
1952,Intermediate inputs: Purchased services,0.500222105
1952,Intermediate inputs: Other intermediate inputs,0.287195457
1952,Total factor productivity (TFP),0.369610551
1953,Total agricultural output,0.36937531
1953,Livestock and products output: Total,0.486891181
1953,Livestock and products output: Meat animals,0.659015603
1953,Livestock and products output: Dairy,0.501643088
1953,Livestock and products output: Poultry and eggs,0.178876561
1953,Crops output: Total,0.336798125
1953,Crops output: Food grains,0.48803322
1953,Crops output: Feed crops,0.360764428
1953,Crops output: Oil crops,0.113452561
1953,Crops output: Vegetables and melons,0.448083437
1953,Crops output: Fruits and nuts,0.299754054
1953,Crops output: Other crops,0.466944791
1953,Farm-related output,0.147293143
1953,Farm inputs: Total ,0.982847596
1953,Capital inputs: Total,1.23855684
1953,Capital inputs: Durable equipment,0.806326192
1953,Capital inputs: Service buildings,1.035699864
1953,Capital inputs: Land,1.375558801
1953,Capital inputs: Inventories,0.820665183
1953,Labor inputs: Total,3.362526204
1953,Labor inputs: Hired labor,2.662122889
1953,Labor inputs: Self-employed and unpaid family workers,3.789421691
1953,Intermediate inputs: Total,0.482456711
1953,Intermediate inputs: Feed and seed,0.513946321
1953,Intermediate inputs: Energy,1.369431406
1953,Intermediate inputs: Fertilizer and lime,0.350176061
1953,Intermediate inputs: Pesticides,0.027705329
1953,Intermediate inputs: Purchased services,0.479050588
1953,Intermediate inputs: Other intermediate inputs,0.266259565
1953,Total factor productivity (TFP),0.375821553
1954,Total agricultural output,0.369157129
1954,Livestock and products output: Total,0.500674412
1954,Livestock and products output: Meat animals,0.685004327
1954,Livestock and products output: Dairy,0.514195128
1954,Livestock and products output: Poultry and eggs,0.188596609
1954,Crops output: Total,0.329605857
1954,Crops output: Food grains,0.428478553
1954,Crops output: Feed crops,0.373459532
1954,Crops output: Oil crops,0.119309927
1954,Crops output: Vegetables and melons,0.434613706
1954,Crops output: Fruits and nuts,0.312958805
1954,Crops output: Other crops,0.427363867
1954,Farm-related output,0.13671983
1954,Farm inputs: Total ,0.958034457
1954,Capital inputs: Total,1.249411502
1954,Capital inputs: Durable equipment,0.84738074
1954,Capital inputs: Service buildings,1.058392714
1954,Capital inputs: Land,1.369282695
1954,Capital inputs: Inventories,0.803575293
1954,Labor inputs: Total,3.29519391
1954,Labor inputs: Hired labor,2.509897482
1954,Labor inputs: Self-employed and unpaid family workers,3.7755681
1954,Intermediate inputs: Total,0.457336341
1954,Intermediate inputs: Feed and seed,0.475846357
1954,Intermediate inputs: Energy,1.365162991
1954,Intermediate inputs: Fertilizer and lime,0.355650709
1954,Intermediate inputs: Pesticides,0.030839899
1954,Intermediate inputs: Purchased services,0.464134912
1954,Intermediate inputs: Other intermediate inputs,0.252253089
1954,Total factor productivity (TFP),0.385327611
1955,Total agricultural output,0.379289002
1955,Livestock and products output: Total,0.510517726
1955,Livestock and products output: Meat animals,0.709061804
1955,Livestock and products output: Dairy,0.521933544
1955,Livestock and products output: Poultry and eggs,0.185729179
1955,Crops output: Total,0.341498335
1955,Crops output: Food grains,0.40473659
1955,Crops output: Feed crops,0.393537585
1955,Crops output: Oil crops,0.138261949
1955,Crops output: Vegetables and melons,0.459426308
1955,Crops output: Fruits and nuts,0.328521867
1955,Crops output: Other crops,0.435490614
1955,Farm-related output,0.130695211
1955,Farm inputs: Total ,0.990508474
1955,Capital inputs: Total,1.251603888
1955,Capital inputs: Durable equipment,0.862410309
1955,Capital inputs: Service buildings,1.079193795
1955,Capital inputs: Land,1.359193053
1955,Capital inputs: Inventories,0.824431407
1955,Labor inputs: Total,3.221858774
1955,Labor inputs: Hired labor,2.466677931
1955,Labor inputs: Self-employed and unpaid family workers,3.683561845
1955,Intermediate inputs: Total,0.497561927
1955,Intermediate inputs: Feed and seed,0.534509207
1955,Intermediate inputs: Energy,1.400644443
1955,Intermediate inputs: Fertilizer and lime,0.358346279
1955,Intermediate inputs: Pesticides,0.040381419
1955,Intermediate inputs: Purchased services,0.479801583
1955,Intermediate inputs: Other intermediate inputs,0.250553435
1955,Total factor productivity (TFP),0.382923531
1956,Total agricultural output,0.381562457
1956,Livestock and products output: Total,0.52238832
1956,Livestock and products output: Meat animals,0.698535206
1956,Livestock and products output: Dairy,0.535969663
1956,Livestock and products output: Poultry and eggs,0.207168971
1956,Crops output: Total,0.338032571
1956,Crops output: Food grains,0.422993226
1956,Crops output: Feed crops,0.38733043
1956,Crops output: Oil crops,0.150384795
1956,Crops output: Vegetables and melons,0.475847442
1956,Crops output: Fruits and nuts,0.323762749
1956,Crops output: Other crops,0.410778383
1956,Farm-related output,0.141601205
1956,Farm inputs: Total ,0.989488992
1956,Capital inputs: Total,1.250752531
1956,Capital inputs: Durable equipment,0.873077792
1956,Capital inputs: Service buildings,1.096823554
1956,Capital inputs: Land,1.345564109
1956,Capital inputs: Inventories,0.836250327
1956,Labor inputs: Total,3.01960723
1956,Labor inputs: Hired labor,2.252522509
1956,Labor inputs: Self-employed and unpaid family workers,3.489977589
1956,Intermediate inputs: Total,0.513914953
1956,Intermediate inputs: Feed and seed,0.554754153
1956,Intermediate inputs: Energy,1.400756
1956,Intermediate inputs: Fertilizer and lime,0.362049241
1956,Intermediate inputs: Pesticides,0.055789108
1956,Intermediate inputs: Purchased services,0.492959502
1956,Intermediate inputs: Other intermediate inputs,0.234591683
1956,Total factor productivity (TFP),0.385615666
1957,Total agricultural output,0.377430343
1957,Livestock and products output: Total,0.510855172
1957,Livestock and products output: Meat animals,0.665829565
1957,Livestock and products output: Dairy,0.540855562
1957,Livestock and products output: Poultry and eggs,0.211919375
1957,Crops output: Total,0.335755741
1957,Crops output: Food grains,0.400667746
1957,Crops output: Feed crops,0.42372628
1957,Crops output: Oil crops,0.145212748
1957,Crops output: Vegetables and melons,0.467477684
1957,Crops output: Fruits and nuts,0.331346862
1957,Crops output: Other crops,0.346770464
1957,Farm-related output,0.160089647
1957,Farm inputs: Total ,0.982418047
1957,Capital inputs: Total,1.237216071
1957,Capital inputs: Durable equipment,0.86042012
1957,Capital inputs: Service buildings,1.109967911
1957,Capital inputs: Land,1.329819503
1957,Capital inputs: Inventories,0.814398535
1957,Labor inputs: Total,2.799911593
1957,Labor inputs: Hired labor,2.160936305
1957,Labor inputs: Self-employed and unpaid family workers,3.189937052
1957,Intermediate inputs: Total,0.530303711
1957,Intermediate inputs: Feed and seed,0.581379845
1957,Intermediate inputs: Energy,1.377402118
1957,Intermediate inputs: Fertilizer and lime,0.365747581
1957,Intermediate inputs: Pesticides,0.040516096
1957,Intermediate inputs: Purchased services,0.511337272
1957,Intermediate inputs: Other intermediate inputs,0.248562
1957,Total factor productivity (TFP),0.384185067
1958,Total agricultural output,0.398461836
1958,Livestock and products output: Total,0.515851753
1958,Livestock and products output: Meat animals,0.676293574
1958,Livestock and products output: Dairy,0.540017154
1958,Livestock and products output: Poultry and eggs,0.225070227
1958,Crops output: Total,0.368605858
1958,Crops output: Food grains,0.591335544
1958,Crops output: Feed crops,0.447048855
1958,Crops output: Oil crops,0.174289598
1958,Crops output: Vegetables and melons,0.485423382
1958,Crops output: Fruits and nuts,0.311280453
1958,Crops output: Other crops,0.364108295
1958,Farm-related output,0.167913372
1958,Farm inputs: Total ,0.986372979
1958,Capital inputs: Total,1.224272536
1958,Capital inputs: Durable equipment,0.846845769
1958,Capital inputs: Service buildings,1.121607309
1958,Capital inputs: Land,1.314496116
1958,Capital inputs: Inventories,0.840619302
1958,Labor inputs: Total,2.669005886
1958,Labor inputs: Hired labor,2.176793452
1958,Labor inputs: Self-employed and unpaid family workers,2.965910015
1958,Intermediate inputs: Total,0.551898831
1958,Intermediate inputs: Feed and seed,0.610788455
1958,Intermediate inputs: Energy,1.342598161
1958,Intermediate inputs: Fertilizer and lime,0.365261026
1958,Intermediate inputs: Pesticides,0.048672721
1958,Intermediate inputs: Purchased services,0.536224529
1958,Intermediate inputs: Other intermediate inputs,0.252571865
1958,Total factor productivity (TFP),0.403966698
1959,Total agricultural output,0.409155889
1959,Livestock and products output: Total,0.532263961
1959,Livestock and products output: Meat animals,0.712664687
1959,Livestock and products output: Dairy,0.538957097
1959,Livestock and products output: Poultry and eggs,0.233017012
1959,Crops output: Total,0.373690338
1959,Crops output: Food grains,0.472734315
1959,Crops output: Feed crops,0.451708725
1959,Crops output: Oil crops,0.159291177
1959,Crops output: Vegetables and melons,0.512749348
1959,Crops output: Fruits and nuts,0.337870303
1959,Crops output: Other crops,0.436723502
1959,Farm-related output,0.205305463
1959,Farm inputs: Total ,1.012702042
1959,Capital inputs: Total,1.219888116
1959,Capital inputs: Durable equipment,0.850050563
1959,Capital inputs: Service buildings,1.131773682
1959,Capital inputs: Land,1.302768058
1959,Capital inputs: Inventories,0.871198417
1959,Labor inputs: Total,2.650625151
1959,Labor inputs: Hired labor,2.124607454
1959,Labor inputs: Self-employed and unpaid family workers,2.969395924
1959,Intermediate inputs: Total,0.586692795
1959,Intermediate inputs: Feed and seed,0.622960224
1959,Intermediate inputs: Energy,1.361930981
1959,Intermediate inputs: Fertilizer and lime,0.414019218
1959,Intermediate inputs: Pesticides,0.063813526
1959,Intermediate inputs: Purchased services,0.619019505
1959,Intermediate inputs: Other intermediate inputs,0.308733526
1959,Total factor productivity (TFP),0.40402396
1960,Total agricultural output,0.422315551
1960,Livestock and products output: Total,0.532271137
1960,Livestock and products output: Meat animals,0.708758382
